TITLE,LOCATION,FACING,FLOOR,BEDROOM,BATHROOM,BUILT YEAR,PARKING,AMENITIES,PRICE_NPR,RATE_VALUE,RATE_UNIT,RATE_DENOMINATOR,LAND_AREA_AANA,BUILDUP_AREA_SQFT,ROAD_ACCESS_FEET
"Newly built house on sale in Shree Tole, Tokha","Tokha, Kathmandu",North-East,2.5,5.0,3.0,2077 B.S,,"['Earthquake Resistant', 'Marbel', 'Power Backup', 'Drainage', 'Drinking Water', 'Bathroom', 'Parking']",45000000.0,,,,5.2,2321.0,12.0
House on sale in Mulpani,"Mulpani, Kathmandu",East,2.5,5.0,3.0,2074 B.S,,"['Earthquake Resistant', 'Marbel', 'Bathroom', 'Drinking Water', 'Parking', 'Drainage']",24500000.0,,,,3.0,,15.0
"Modern House for sale at Hattigauda, Budhanilkantha","Hattigaunda, Kathmandu",South-East,3.0,4.0,3.0,2080 B.S,2 CaRs.  & 5 Bikes,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Fridge', 'Sofa', 'Dining Room', 'Bed Room', 'Washing Machine', 'TV', 'Drainage', 'Power Backup']",30000000.0,,,,4.0,,13.0
"House on rent at Thasikhel, Lalitpur","Thasikhel, Lalitpur",East,2.0,5.0,5.0,2073 B.S,,"['Drinking Water', 'Parking', 'Drainage']",,300000.0,NPR,m,18.0,,14.0
"House on rent at Golfutar, Kathmandu","Golfutar, Kathmandu",North-East,2.0,5.0,4.0,2074 B.S,,"['Bathroom', 'Parking', 'Drainage', 'Drinking Water']",,125000.0,NPR,m,,,14.0
"House for rent at Naxal, Kathmandu","Naxal, Kathmandu",North-East,2.5,5.0,5.0,2074 B.S,,"['Drinking Water', 'Parking', 'Drainage', 'Bathroom']",,140000.0,NPR,m,4.0,,14.0
House on rent at Budhanilkantha,"Budhanilkantha, Kathmandu",East,2.0,6.0,5.0,2074 B.S,,"['Parking', 'Drainage', 'Bathroom', 'Drinking Water']",,350000.0,NPR,m,,,14.0
"Residential house on sale at Kalopul, Kathmandu","Kalopool, Kathmandu",South-East,1.0,2.0,2.0,2076 B.S,,"['Parking', 'Bathroom', 'Drinking Water', 'Drainage']",22000000.0,,,,3.8,,15.0
"Attractive house on sale at Sitapaila, Nagarjun","Sitapaila, Kathmandu",West,2.5,6.0,4.0,2076 B.S,,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage']",26500000.0,,,,3.3,,20.0
Brand new house for sale in Kapan,"Kapan, Kathmandu",East,1.0,2.0,1.0,2073 B.S,,"['Earthquake Resistant', 'Parking', 'Bathroom', 'Drinking Water', 'Drainage']",16500000.0,,,,3.0,,12.0
"Beautiful 7 bhk house on sale at Bhaisepati, Lalitpur","Bhaisepati, Lalitpur",South-West,2.5,7.0,7.0,2072 B.S,,"['Bathroom', 'Drinking Water', 'Playground', 'Parking', 'Drainage']",36000000.0,,,,5.0,,20.0
"Residential house for sale at Pasikot, Budhanilkantha","Pasikot, Kathmandu",West,2.5,5.0,3.0,2073 B.S,,"['Bathroom', 'Parking', 'Drinking Water', 'Drainage']",23000000.0,,,,3.0,,18.0
"Residential house for sale at Kapan, Chunikhel","Chunikhel, Kathmandu",East,2.5,4.0,4.0,2073 B.S,,"['Bathroom', 'Drinking Water', 'Drainage', 'Parking']",16000000.0,,,,3.0,,12.0
"Beautiful house on sale at Naikap, Chandragiri","Naikap, Kathmandu",North,3.0,7.0,6.0,2080 B.S,,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage']",47500000.0,,,,8.2,,13.0
"Building on rent at Naag Pokhari, Naxal","Naxal, Kathmandu",,5.0,10.0,5.0,2072 B.S,,"['Bathroom', 'Parking', 'Drainage', 'Marbel']",,800000.0,NPR,m,24.0,8000.0,14.0
"House on sale at Thulobharyang, Nagarjun","Thulobharyang, Kathmandu",South,2.5,5.0,4.0,2074 B.S,,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage']",29000000.0,,,,4.0,,12.0
"House on sale at Tandi, Chitwan ","Tandi, Chitwan",West,2.0,6.0,4.0,2073 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Fridge', 'Sofa', 'Dining Room', 'Bed Room', 'AirCon', 'Washing Machine', 'TV', 'Power Backup']",23500000.0,,,,26.0,,8.0
"Residential house for sale in Khusibu, Kathmandu","Khusibu, Kathmandu",East,2.5,5.0,3.0,2073 B.S,,"['Parquet', 'Marbel', 'Bathroom', 'Drinking Water', 'Parking', 'Garden', 'Modular Kitchen', 'Power Backup', 'Drainage']",34000000.0,,,,3.1,,15.0
"2.5 Story Beautiful House Behind GreenHill CIty VIP Housing in Narayantar, Shiva Chowk on Sale","Narayantar, Kathmandu",East,3.0,5.0,3.0,2074 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Fridge', 'Sofa', 'Dining Room', 'Bed Room', 'Water Purifier', 'Washing Machine', 'TV', 'Drainage']",24500000.0,,,,3.0,,13.0
"Attractive houses on sale at Thulo Bharyang, Swoyambhu","Thulobharyang, Kathmandu",North-East,2.5,,,2076 B.S,,"['Bathroom', 'Drinking Water', 'Parking', 'Drainage']",140000000.0,,,,11.2,,22.0
"House on sale at Italitar, Budhanilkantha","Italitar, Kathmandu",East,2.0,6.0,5.0,2076 B.S,,"['Bathroom', 'Drinking Water', 'Parking', 'Drainage']",100000000.0,,,,15.0,,14.0
"House on sale at Bafal, Nagarjun","Bafal, Kathmandu",East,2.0,7.0,4.0,2074 B.S,,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage']",37500000.0,,,,4.0,,13.0
Furnished house for sale in Khumaltar,"Khumaltar, Lalitpur",East,2.5,6.0,4.0,2073 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Fridge', 'Sofa', 'Dining Room', 'Bed Room', 'AirCon', 'Washing Machine', 'TV', 'Drainage']",42500000.0,,,,4.2,2650.0,20.0
"House on sale at Nayabasti, Imadol ","Imadol, Lalitpur",North,2.5,5.0,3.0,2073 B.S,,"['Drinking Water', 'Parking', 'Drainage']",21500000.0,,,,2.3,,12.0
"Attractive 5 BHK house for sale at Imadol, Lalitpur","Imadol, Lalitpur",North,2.5,5.0,5.0,2076 B.S,,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage']",37500000.0,,,,4.0,,13.0
"Residential 7 BHK house on sale at Imadol, Lalitpur","Gwarko, Lalitpur",North-West,3.5,7.0,5.0,2076 B.S,,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage']",47500000.0,,,,4.0,,13.0
"Beautiful house on sale at Kamalpokhari, Imadol","Imadol, Lalitpur",South,2.5,4.0,4.0,2073 B.S,,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage']",23500000.0,,,,2.3,,13.0
"Full furnished house for rent in Siddhartha Colony, Budhanilkantha","Siddhartha Colony, Kathmandu",South,2.5,3.0,5.0,2070 B.S,,"['Earthquake Resistant', 'Parquet', 'Fridge', 'Sofa', 'CC Camera', 'Dining Room', 'Bed Room', 'AirCon', 'Washing Machine', 'TV', 'Drainage']",,175000.0,NPR,m,8.3,,20.0
